algorithm,array_type,size,avg_time_ms,avg_comparisons
String Quicksort,almost sorted,2800,5.596,122251
String Mergesort,almost sorted,2800,15.0032,18035
MSD Radixsort,almost sorted,2800,6.1048,0
MSD Radixsort (with switch),almost sorted,2800,4.2028,43147
Standard Quicksort,random,2900,3,35429
Standard Mergesort,random,2900,17.5052,29776
String Quicksort,random,2900,3.9968,42413
String Mergesort,random,2900,16.0074,29679
MSD Radixsort,random,2900,7.202,0
MSD Radixsort (with switch),random,2900,4.1994,19147
Standard Quicksort,reverse sorted,2900,160.225,4.20355e+006
Standard Mergesort,reverse sorted,2900,17.1686,16120
String Quicksort,reverse sorted,2900,4.5982,50477
String Mergesort,reverse sorted,2900,15.6064,16120
MSD Radixsort,reverse sorted,2900,6.8002,0
MSD Radixsort (with switch),reverse sorted,2900,4.7062,21740
Standard Quicksort,almost sorted,2900,157.945,3.8166e+006
Standard Mergesort,almost sorted,2900,14.608,17567
String Quicksort,almost sorted,2900,6.109,131569
String Mergesort,almost sorted,2900,16.6196,18984
MSD Radixsort,almost sorted,2900,6.2024,0
MSD Radixsort (with switch),almost sorted,2900,4.4058,44482
Standard Quicksort,random,3000,3.8094,39107
Standard Mergesort,random,3000,18.2376,30906
String Quicksort,random,3000,4.202,44659
String Mergesort,random,3000,16.6094,30815
MSD Radixsort,random,3000,7.403,0
MSD Radixsort (with switch),random,3000,5.0076,19775
Standard Quicksort,reverse sorted,3000,168.417,4.4985e+006
Standard Mergesort,reverse sorted,3000,16.6064,16828
String Quicksort,reverse sorted,3000,4.4,52507
String Mergesort,reverse sorted,3000,16.0034,16828
MSD Radixsort,reverse sorted,3000,7.3002,0
MSD Radixsort (with switch),reverse sorted,3000,4.362,22522
Standard Quicksort,almost sorted,3000,165.795,4.09082e+006
Standard Mergesort,almost sorted,3000,15.4102,18171
String Quicksort,almost sorted,3000,6.2048,138296
String Mergesort,almost sorted,3000,16.3094,19790
MSD Radixsort,almost sorted,3000,6.4106,0
MSD Radixsort (with switch),almost sorted,3000,4.7976,46169
